ข้อสอบ ENTRANCE ญี่ปุ่น สำนวนรูป て (1),บทที่ 1
ข้อสอบ PAT ญี่ปุ่น สำนวนรูป て (1),บทที่ 2
สำนวนรูป て (2) และสำนวนรูป ない,บทที่ 3
ข้อสอบ ENTRANCE ญี่ปุ่น สำนวนรูป て (2) และสำนวนรูป ない,บทที่ 4
ข้อสอบ PAT ญี่ปุ่น สำนวนรูป て (2) และสำนวนรูป ない,บทที่ 5
ข้อสอบ ENTRANCE ญี่ปุ่น สำนวนรูป た,บทที่ 6
ข้อสอบ PAT ญี่ปุ่น สำนวนรูป た,บทที่ 7
Reading อ่านประกาศ (1),บทที่ 8
ข้อสอบ ENTRANCE ญี่ปุ่น รูปถูกทำ-ให้ทำ,บทที่ 9
ข้อสอบ PAT ญี่ปุ่น รูปถูกทำ-ให้ทำ,บทที่ 10
Reading อ่านประกาศ (2),บทที่ 11
ข้อสอบ ENTRANCE PAT ญี่ปุ่น อกรรมกริยา สกรรมกริยา,บทที่ 12
Reading อ่านบทความ (1),บทที่ 13
ข้อสอบ ENTRANCE ญี่ปุ่น รูป Plain Form,บทที่ 14
ข้อสอบ PAT ญี่ปุ่น รูป Plain Form,บทที่ 15
Reading อ่านบทสนทนา (1),บทที่ 16
ข้อสอบ ENTRANCE ญี่ปุ่น 敬語 Keigo,บทที่ 17
ข้อสอบ PAT ญี่ปุ่น 敬語 Keigo (1),บทที่ 18
ข้อสอบ PAT ญี่ปุ่น 敬語 Keigo (2),บทที่ 19
Reading อ่านบทสนทนา (2),บทที่ 20
ข้อสอบ ENTRANCE PAT ญี่ปุ่น การผันคำคุณศัพท์,บทที่ 21
Reading อ่านบทความ (2),บทที่ 22
ข้อสอบ ENTRANCE ญี่ปุ่น การให้-รับ,บทที่ 23
ข้อสอบ PAT ญี่ปุ่น การให้-รับ,บทที่ 24
Reading อ่านจดหมาย อีเมล,บทที่ 25
Reading อ่านบทความ (3),บทที่ 26
ฝึกฝนข้อสอบพาร์ทบทสนทนา 会話,บทที่ 27
ฝึกฝนข้อสอบพาร์ทบทสนทนา 会話 (2),บทที่ 28
ฝึกฝนข้อสอบพาร์ทเรียงคำ (1) และประโยคต่าง (1),บทที่ 29
Reading อ่านบทความ (4) และพาร์ทเรียงคำ (2),บทที่ 30
ฝึกฝนข้อสอบพาร์ทเรียงประโยค,บทที่ 31
ฝึกฝนข้อสอบคำช่วย で を に,บทที่ 32